margemBrutaAcumulada,percentualRisco,restricoes,empresa_MeEppMei,scorePontualidade,endividamento,estoque,faturamentoBruto,custos,kmeans
0.0,0.1071428571428571,True,False,0.0,67000.0,515003.0,1577219.0,1115306.0,2
0.0,0.0892857142857142,False,False,0.0,0.0,288702.0,8241007.0,4288200.0,3
0.0,0.3571428571428571,False,False,0.0,733543.0,1238376.0,0.0,0.0,3
0.0,0.3571428571428571,False,False,0.0,733543.0,1238376.0,0.0,0.0,3
0.0,0.3571428571428571,False,False,0.0,733543.0,1238376.0,0.0,0.0,3
0.0,0.1428571428571428,False,False,0.0,2577699.0,1175077.0,15037020.0,7699594.0,3
0.0,0.3749999999999999,False,True,0.0,0.0,110314.0,364075.0,199572.0,4
0.0,0.1071428571428571,True,False,0.0,35939000.0,0.0,540523000.0,435992000.0,2
0.0,0.1071428571428571,False,False,0.0,3487000.0,0.0,21351000.0,12473000.0,3
0.6614050682,0.2142857142857142,False,True,1.0,0.0,0.0,3372514.0,0.0,0
0.0,0.2857142857142857,False,False,0.0,12303701.0,0.0,7436026.0,623879.0,3
0.0,0.0535714285714285,False,False,0.0,0.0,0.0,19930000.0,1208000.0,3
0.423514808,0.0892857142857142,False,False,1.0,12800000.0,0.0,3018000.0,1736000.0,1
0.0,0.0535714285714285,False,False,0.0,0.0,0.0,9046276.0,5369348.0,3
0.3645702294,0.3928571428571428,False,True,0.8647141761,863971.0,813758.0,5752872.0,3457850.0,0
0.3898716055,0.1964285714285714,False,True,1.0,619815.0,1036602.0,2542054.0,1384276.0,0
0.2394745641,0.2321428571428571,False,False,1.0,0.0,13299.0,55640.0,33594.0,1
0.3931856331,0.2142857142857142,False,False,1.0,11586002.0,2339447.0,307926671.0,0.0,1
0.2655254663,0.3214285714285714,False,False,1.0,0.0,48326.0,596949.0,254339.0,1
0.0,0.1607142857142857,False,False,0.0,0.0,110700.0,917281.0,396074.0,3
0.0,0.3035714285714285,False,False,0.0,0.0,8125603.0,109615316.0,73650851.0,3
0.0,0.1964285714285714,False,False,0.0,0.0,105583.0,784131.0,476742.0,3
0.0,0.1428571428571428,False,False,0.0,49679.0,2561189.0,7931992.0,4789032.0,3
0.581735286,0.0892857142857142,False,False,1.0,0.0,406792.0,1706534.0,0.0,1
0.3792333333,0.1785714285714285,True,False,1.0,0.0,373570.0,1514705.0,1122848.0,2
0.3792333333,0.0535714285714285,False,False,1.0,24500.0,3474772.0,13524430.0,7626535.0,1
0.2104147059,0.3214285714285714,False,True,0.8905809645,520760.0,357923.0,2833660.0,1205985.0,0
0.6357338888,0.0535714285714285,False,False,1.0,24667553.0,19443551.0,155916155.0,83752416.0,1
0.2817467795,0.3571428571428571,False,True,1.0,100000.0,749917.0,5345726.0,4004303.0,0
0.49803881,0.1428571428571428,False,False,1.0,0.0,114733.0,169235.0,115524.0,1
0.3842935495,0.1964285714285714,False,False,0.8706698898,0.0,234192.0,1746931.0,0.0,1
0.8063552462,0.0535714285714285,False,False,1.0,7342892.0,142264134.0,434115695.0,257674372.0,1
0.3277825985,0.3035714285714285,False,True,1.0,0.0,0.0,3771457.0,0.0,0
0.0,0.0714285714285714,False,False,0.0,0.0,548473.0,4584806.0,2594711.0,3
0.3145752451,0.375,False,False,1.0,1106681.0,490000.0,0.0,0.0,1
0.2810686763,0.3571428571428571,False,True,1.0,15739.0,44651.0,336832.0,32379.0,0
0.0,0.0178571428571428,False,False,0.0,0.0,398475.0,2367371.0,1478784.0,3
0.5541379882,0.125,False,False,1.0,0.0,0.0,114682989.0,0.0,1
0.5384675313,0.1428571428571428,False,False,1.0,0.0,1185493.0,939895.0,239280.0,1
0.0,0.2678571428571428,False,True,0.0,0.0,395736.0,3919267.0,2485956.0,4
0.0,0.1607142857142857,False,False,0.0,15429146.0,7663813.0,34858388.0,18708881.0,3
0.0,0.6071428571428571,False,True,0.0,0.0,0.0,1272586.0,0.0,4
0.2530701589,0.5714285714285714,False,True,1.0,20000.0,111581.0,39044.0,26314.0,0
0.3313376349,0.3214285714285714,False,True,1.0,0.0,90655.0,1043423.0,671484.0,0
0.0,0.1964285714285714,False,False,0.0,1975.0,744088.0,187189.0,11512.0,3
0.0,0.25,False,False,0.0,1268028.0,167487.0,795073.0,566797.0,3
0.0,0.1785714285714285,False,False,0.0,282635.0,1698076.0,6695873.0,3369442.0,3
0.3838095238,0.4285714285714285,False,True,1.0,0.0,0.0,57472.0,0.0,0
0.307470984,0.1964285714285714,False,True,1.0,18919.0,14129.0,2524427.0,0.0,0
0.2313216259,0.3035714285714285,False,False,0.7968222616,404603.0,1875506.0,43894144.0,20291132.0,1
0.3437652174,0.0892857142857142,False,False,0.8536801132,0.0,595870.0,2804091.0,1668998.0,1
0.4103858025,0.0357142857142857,False,False,1.0,0.0,595870.0,2804091.0,1668998.0,1
0.4766808982,0.375,False,False,0.981281418,288067.0,294465.0,692163.0,0.0,1
0.4316802789,0.3392857142857142,False,False,1.0,0.0,0.0,0.0,0.0,1
0.2170787595,0.3749999999999999,False,True,1.0,0.0,0.0,183564.0,12993.0,0
0.3808040168,0.4107142857142857,False,True,1.0,0.0,0.0,1182718.0,0.0,0
0.3267867192,0.0892857142857142,False,False,1.0,4107499.0,6516935.0,47027090.0,26521492.0,1
0.3589796807,0.125,False,False,1.0,0.0,0.0,51875036.0,0.0,1
