cnpjSemTraco,prazoMedioRecebimentoVendas,titulosEmAberto,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,custos,capitalSocial,restricoes,empresa_MeEppMei,limiteEmpresaAnaliseCredito,kmeans
DCYU12834768810259,0,0.0,293402000.0,187575000.0,386929000.0,164778000.0,48351000.0,127328000.0,31390000.0,671575000.0,188107000.0,483468000.0,290536290.0,True,False,23830848.0,2
PBPI14140757168975,0,0.0,12743188.0,8985428.0,12919372.0,3933944.0,1383304.0,3107516.0,8980082.0,51403730.0,16165090.0,35238640.0,3000000.0,False,False,391055.0,1
DIRV93268688469655,0,0.0,13852629.0,1435883.0,15904174.0,14468290.0,0.0,1423558.0,4205847.0,9914981.0,3892657.0,6022324.0,648000.0,False,False,1118010.0,1
JASM14953492414629,19,2680.0,1007312.0,212785.0,1154730.0,941945.0,0.0,159887.0,521581.0,13674293.0,5469718.0,8204575.0,100000.0,False,False,6480.0,1
WAZH81427239986698,0,0.0,46811717.0,9849068.0,53006683.0,30394259.0,1632500.0,25308982.0,17394296.0,106202500.0,32661563.0,73540937.0,5000000.0,False,True,1188410.0,0
OTKG91697269684767,31,7310.99,415973.0,364084.0,417597.0,59749.0,60000.0,274857.0,66269.0,449954.0,133524.0,316430.0,50000.0,False,False,30360.0,1
IBBW24780971665792,0,5217.34,715239.0,289674.0,735004.0,369457.0,185000.0,174347.0,233774.0,1368359.0,546486.0,821873.0,100000.0,False,False,103336.0,1
CWUM99747550174285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3294646.0,0.0,0.0,100000.0,False,True,16280.0,0
YERL35685920351158,31,26565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866899.0,0.0,0.0,15000.0,False,True,6660.0,0
TRAD39089840050862,31,15476.5,4437360.0,1749079.0,4450974.0,2145651.0,1512877.0,217521.0,666453.0,3604070.0,733660.0,2870410.0,120000.0,False,False,66000.0,1
JSPJ38453268669918,0,0.0,199202.0,24751.0,199202.0,174451.0,0.0,0.0,62542.0,32668.0,25758.0,6910.0,500000.0,False,False,720.0,1
YMBH12073345858823,36,41582.3,2133611.0,172922.0,2431297.0,2243858.0,14515.0,144306.0,1948748.0,4020321.0,3025183.0,995138.0,300000.0,False,True,91989.0,0
DCNC68630446435434,20,209794.37,26191522.0,7501813.0,26279924.0,17140672.0,0.0,8606373.0,2711613.0,10701729.0,3229508.0,7472221.0,1000000.0,False,False,15043086.0,1
AAMI69895399119182,31,56267.5,11989252.0,357446.0,13163240.0,12685202.0,0.0,7507519.0,0.0,17823997.0,7786435.0,10037562.0,0.0,False,True,325624.0,0
GJGV84396365199531,31,11800.0,9967947.0,6980943.0,15179855.0,6496091.0,0.0,629359.0,4482581.0,59829251.0,28000053.0,31829198.0,2600000.0,False,False,641855.0,1
YFWR40767427243305,0,6750.0,4103165.0,1590145.0,4616340.0,1622569.0,993851.0,655054.0,1933827.0,11935091.0,5593908.0,6341183.0,1200000.0,False,False,658600.0,1
JJJO86195665960207,31,5549.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2712938.0,0.0,0.0,100000.0,False,True,60800.0,0
KMXI01219872531845,31,5376.64,7439481.0,8168136.0,14843906.0,4982256.0,4725948.0,545726.0,136994.0,5190185.0,5072932.0,117253.0,500000.0,False,False,3018430.0,1
ZXOH34061227638698,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757693.0,0.0,0.0,10000.0,True,False,16200.0,2
JFCS89258018231746,0,0.0,194757.0,524259.0,196777.0,-351479.0,259385.0,0.0,192915.0,1102503.0,579462.0,523041.0,35000.0,False,False,19980.0,1
ZPXI67236452042256,0,0.0,3401983.0,2303119.0,3780783.0,1335634.0,7000.0,1584511.0,412993.0,5494705.0,1228122.0,4266583.0,140000.0,False,True,325778.0,0
SPWA04763690788971,0,0.0,11098660.0,268981.0,16498922.0,9668698.0,6105644.0,632660.0,5161292.0,5790741.0,4155359.0,1635382.0,1200000.0,False,False,998525.0,1
MOLC95396719727980,31,14025.0,1309481.0,889000.0,1309481.0,218960.0,198749.0,628071.0,376898.0,9643686.0,2989997.0,6653689.0,30000.0,False,False,39600.0,1
OASF11975285964998,0,0.0,1927900.0,1386751.0,2272449.0,885698.0,860702.0,1150406.0,535282.0,2952601.0,764047.0,2188554.0,432000.0,False,True,1760.0,0
QPEZ61149547376007,0,0.0,6563632.0,2621128.0,8974680.0,6328264.0,50500.0,2207519.0,3290810.0,1500000.0,300000.0,1200000.0,2000000.0,False,False,499500.0,1
ZQZQ63822896328205,37,24315.0,1072944.0,227389.0,1673350.0,1445960.0,0.0,917929.0,60971.0,1837367.0,657225.0,1180142.0,400000.0,False,False,54286.0,1
QWSS53576678863410,17,16361.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85006365.0,0.0,0.0,500000.0,False,False,5040076.0,1
LJMW44343279069884,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5591115.0,0.0,0.0,300000.0,False,False,168000.0,1
SQXN33822273652292,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215044.0,0.0,0.0,30000.0,False,False,5280.0,1
HZFB50457586709277,0,0.0,196862186.0,43983974.0,230055153.0,168140504.0,1464662.0,64111437.0,97768624.0,421397565.0,170073140.0,251324425.0,2790000.0,False,False,29613227.0,1
JABO21745723379598,0,0.0,559872.0,142581.0,562123.0,112493.0,28935.0,478875.0,0.0,2798698.0,2798698.0,0.0,250000.0,False,True,50600.0,0
HHRT70929696414345,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79408.0,0.0,0.0,300000.0,False,True,880.0,0
AAKI68017899673695,0,0.0,1774012.0,443096.0,1828274.0,1187745.0,64236.0,70327.0,399045.0,2213365.0,1207786.0,1005579.0,120000.0,False,False,109641.0,1
DFGK41630869614960,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442677.0,0.0,0.0,10000.0,False,True,3240.0,0
BCZK85893708311981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710226.0,0.0,0.0,99800.0,False,True,54000.0,0
BVPV31908548605050,0,8841.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,0.0,0.0,100000.0,False,False,26795.0,1
MTPH85183072573357,0,0.0,8957001.0,3089220.0,9576425.0,6003600.0,0.0,0.0,1181948.0,9724563.0,2917370.0,6807193.0,2500000.0,False,False,68000.0,1
PCEF26648358231204,32,11606.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721304.0,0.0,0.0,100000.0,False,False,116100.0,1
DQYF50119429628799,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1852776.0,0.0,0.0,30000.0,False,False,10120.0,1
CAXM42659592528743,33,28480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10065702.0,0.0,0.0,200000.0,False,False,382176.0,1
SRIH96591028416406,0,0.0,16824762.0,2239479.0,18882820.0,16441174.0,0.0,13006937.0,4395779.0,31707660.0,8360944.0,23346716.0,1000000.0,False,False,2279806.0,1
ELQK41348591516215,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19127986.0,0.0,0.0,600000.0,False,True,986802.0,0
MBFE92902174579099,26,46346.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17319458.0,0.0,0.0,450000.0,False,True,788286.0,0
HMOW17454360616914,0,0.0,3327776.0,182175.0,3452933.0,2960528.0,324000.0,1521938.0,857889.0,7876900.0,2830986.0,5045914.0,900000.0,False,True,863457.0,0
SUYD78559263696400,33,7440.0,9967947.0,6980943.0,15179855.0,6496091.0,0.0,629359.0,4482581.0,59829251.0,28000053.0,31829198.0,2600000.0,False,False,641855.0,1
FBST84121362181188,22,4580.0,1787886.0,1381040.0,2035181.0,79991.0,751000.0,2285085.0,348988.0,826219.0,127555.0,698664.0,2985000.0,True,True,1115500.0,3
TLUZ01264776107138,33,8254.4,1794670.0,628842.0,2258487.0,379377.0,1250268.0,466461.0,1198050.0,3329399.0,1708723.0,1620676.0,100000.0,False,True,40110.0,0
RDCH28687737008977,51,46343.25,4515949.0,2717760.0,4560179.0,873851.0,0.0,0.0,2800984.0,14102425.0,7518161.0,6584264.0,100000.0,False,False,145500.0,1
GNPY76147394204081,40,508121.72,16099155.0,6386423.0,17558011.0,6924723.0,336500.0,8071675.0,6230984.0,49725936.0,15608763.0,34117173.0,1502000.0,False,True,1488694.0,0
PBOV62721202868985,74,305671.92,38742459.0,3151600.0,40273700.0,7454186.0,0.0,7573718.0,18143215.0,23332402.0,11006676.0,12325726.0,1400000.0,False,False,12384084.0,1
OLJK41008643411800,33,4445.0,7349721.0,863298.0,7725454.0,5138488.0,174152.0,2700343.0,3145518.0,18220574.0,15148026.0,3072548.0,2500000.0,False,True,297310.0,0
VRXN84864287777648,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1914293.0,0.0,0.0,4000.0,False,True,3080.0,0
OLBJ34699441965051,33,88113.6,8937260.0,1884876.0,9924563.0,1946287.0,1860500.0,1714106.0,0.0,17711761.0,6843331.0,10868430.0,500000.0,False,False,354329.0,1
OIPW59547117919419,53,254809.13,5090449.0,1869046.0,5602944.0,3295489.0,234509.0,661830.0,3141834.0,19403369.0,2915511.0,16487858.0,60000.0,False,False,970000.0,1
